,City,Longitude,Latitude,Date,Temp (C),Humidity,Cloudiness(%),Wind Speed,Humidity%,Max_Temp(C)
0,Chernyy Yar,40.96,64.44,1553790600,2.0,69,20,5.0,69,2.0
1,Eureka,-124.16,40.8,1553792365,8.06,87,75,5.7,87,9.44
2,Tooele,-112.3,40.53,1553792401,8.81,81,1,0.86,81,11.67
3,Torbay,-52.73,47.66,1553791664,1.27,29,5,4.6,29,3.89
4,Nikolskoye,30.79,59.7,1553792435,4.23,60,40,4.0,60,6.0
5,Altay,88.13,47.83,1553792445,-11.28,56,12,0.31,56,-11.28
6,Chuncheng,111.79,22.17,1553792445,19.08,92,56,1.16,92,19.08
7,Tiksi,128.87,71.64,1553792445,-11.58,76,36,9.16,76,-11.58
8,Riverton,-108.38,43.02,1553792421,4.26,44,1,6.7,44,5.56
9,Talnakh,88.39,69.49,1553792446,-6.08,86,80,5.71,86,-6.08
10,Pisco,-76.2,-13.71,1553788800,22.0,30,0,4.1,30,22.0
11,Vaini,74.49,15.34,1553792447,21.38,90,0,1.46,90,21.38
12,Ushuaia,-68.31,-54.81,1553788800,9.12,70,0,8.26,70,10.0
13,Mar del Plata,-67.52,-46.43,1553792447,20.13,46,36,4.21,46,20.13
14,Bethel,-161.76,60.79,1553791260,-1.27,100,90,2.6,100,-1.0
15,Poum,20.71,41.28,1553792325,5.43,53,48,1.61,53,5.43
16,Saint-Philippe,-73.48,45.36,1553792039,4.9,45,75,7.2,45,6.11
17,Baracoa,-74.5,20.35,1553792448,22.73,100,92,3.56,100,22.73
18,Luderitz,15.16,-26.65,1553792448,18.48,79,0,6.51,79,18.48
19,Rafai,23.92,4.95,1553792448,28.48,56,20,3.71,56,28.48
20,Busselton,115.35,-33.64,1553792433,12.21,39,0,8.01,39,12.78
21,Barrow,-60.23,-38.31,1553792074,24.88,44,0,7.81,44,24.88
22,Prainha,-53.48,-1.8,1553792449,29.93,72,48,2.31,72,29.93
23,Viedma,-62.99,-40.81,1553792449,26.93,44,0,8.61,44,26.93
24,Lebu,38.73,8.96,1553792449,14.53,69,24,2.91,69,14.53
25,Ostrovnoy,39.51,68.05,1553792075,-0.93,92,76,9.91,92,-0.93
26,Karasjok,25.52,69.47,1553790000,3.0,59,40,11.3,59,3.0
27,Mataura,168.86,-46.19,1553792449,2.98,85,8,1.21,85,2.98
28,Auki,6.51,12.18,1553792450,32.93,17,0,3.51,17,32.93
29,Port-Gentil,8.78,-0.72,1553788800,29.0,74,20,2.6,74,29.0
30,Juegang,121.18,32.31,1553792189,11.11,81,24,0.89,81,11.11
31,Gdov,27.82,58.74,1553792450,3.48,77,56,6.11,77,3.48
32,Kapaa,-159.32,22.08,1553788560,18.0,88,1,3.1,88,18.0
33,Ojinaga,-104.41,29.56,1553790900,23.0,56,1,1.71,56,23.0
34,Khatanga,102.47,71.98,1553792451,-8.03,87,68,6.16,87,-8.03
35,Vrangel,133.08,42.73,1553792451,1.18,100,56,3.31,100,1.18
36,Mandalgovi,106.27,45.76,1553792080,-8.58,56,0,5.71,56,-8.58
37,Oranjestad,-70.03,12.52,1553788800,29.0,66,75,7.7,66,29.0
38,Republic,-118.74,48.65,1553792108,7.8,49,90,1.5,49,9.0
39,Uyuni,-66.82,-20.46,1553792451,15.63,50,44,1.61,50,15.63
40,Ciudad Real,-3.93,38.99,1553792448,18.9,16,0,7.2,16,20.0
41,Honningsvag,25.97,70.98,1553790000,2.0,80,75,9.3,80,2.0
42,Hermanus,19.24,-34.42,1553792416,20.58,86,12,2.24,86,21.11
43,Celestun,-90.4,20.87,1553792452,24.58,98,0,5.71,98,24.58
44,Saint-Augustin,-0.61,44.83,1553792443,18.14,34,0,5.7,34,19.0
45,Chokurdakh,147.9,70.62,1553792452,-11.78,78,88,7.06,78,-11.78
46,Damietta,31.81,31.42,1553788800,19.0,72,0,2.6,72,19.0
47,Rikitea,-134.97,-23.12,1553792078,25.33,100,48,1.86,100,25.33
48,Tura,90.21,25.52,1553792453,18.48,82,0,1.21,82,18.48
49,Skegness,0.34,53.14,1553792429,13.95,54,20,4.6,54,14.44
50,Sayyan,44.32,15.17,1553792453,13.38,74,8,1.06,74,13.38
51,Batagay,134.64,67.65,1553792453,-27.98,26,0,1.26,26,-27.98
52,New Norfolk,147.06,-42.78,1553792054,15.81,67,0,5.1,67,16.67
53,Mahibadhoo,72.97,3.78,1553792454,29.13,100,0,3.16,100,29.13
54,Lavrentiya,-170.99,65.58,1553792454,-1.28,96,88,7.81,96,-1.28
55,Robertsport,-11.37,6.75,1553792454,28.43,99,0,4.46,99,28.43
56,Hilo,-155.08,19.71,1553792416,16.94,82,1,1.5,82,18.33
57,Punta Arenas,-70.91,-53.16,1553791947,13.26,58,75,6.7,58,14.0
58,Pangnirtung,-65.72,66.15,1553788800,-13.0,55,75,2.1,55,-13.0
59,Aklavik,-135.01,68.22,1553788800,-2.2,92,40,1.86,92,-1.0
60,Hobart,147.33,-42.88,1553791814,15.81,67,0,5.1,67,16.67
61,Avarua,-159.78,-21.21,1553790600,26.0,88,76,2.1,88,26.0
62,Isangel,169.27,-19.55,1553792455,26.83,100,76,5.91,100,26.83
63,Capanema,-53.8,-25.67,1553788800,29.5,58,20,2.6,58,30.0
64,Cayenne,-52.33,4.94,1553790600,30.0,62,90,6.2,62,30.0
65,Castro,-73.76,-42.48,1553788800,15.0,72,0,2.6,72,15.0
66,Nemuro,145.57,43.32,1553792457,-1.78,100,20,11.96,100,-1.78
67,Sur,59.53,22.57,1553792457,23.83,93,92,4.71,93,23.83
68,Longkou,120.47,37.64,1553792458,3.98,99,48,3.16,99,3.98
69,Panaba,-88.27,21.28,1553792458,29.68,38,8,3.61,38,29.68
70,Georgetown,-58.16,6.8,1553788800,30.54,74,75,6.2,74,31.0
71,Saintes,-0.63,45.74,1553792384,16.24,39,0,7.2,39,17.0
72,Dudinka,86.18,69.41,1553792459,-5.18,89,64,7.01,89,-5.18
73,Kavieng,150.8,-2.57,1553792459,28.58,100,64,5.06,100,28.58
74,Carnarvon,22.13,-30.97,1553792208,22.93,23,20,5.06,23,22.93
75,Darhan,105.92,49.49,1553792459,-9.48,73,64,1.46,73,-9.48
76,Cape Town,18.42,-33.93,1553792165,20.08,77,20,5.1,77,21.67
77,Tasiilaq,-37.64,65.61,1553788200,-8.0,52,5,5.7,52,-8.0
78,La Romana,-68.97,18.43,1553788800,28.0,88,75,6.2,88,28.0
79,Butaritari,172.79,3.07,1553792460,27.58,100,92,3.86,100,27.58
80,Mazatlan,-106.42,23.22,1553791626,23.53,78,5,2.1,78,25.0
81,Port Antonio,-76.45,18.18,1553788800,29.0,58,40,2.6,58,29.0
82,Vardo,-77.74,39.62,1553792296,12.26,40,1,4.6,40,14.44
83,Bluff,149.07,-23.58,1553792461,21.23,96,92,4.01,96,21.23
84,Senges,-49.46,-24.11,1553792368,27.22,71,0,2.68,71,27.22
85,Puerto Ayora,-90.35,-0.74,1553792438,27.66,78,40,4.6,78,28.0
86,Yellowknife,-114.38,62.45,1553792390,-0.8,74,90,9.3,74,0.0
87,Arraial do Cabo,-42.02,-22.97,1553792400,29.59,62,40,3.6,62,30.0
88,Albany,-73.75,42.65,1553792455,8.74,34,90,8.7,34,10.56
